"pressurethreathash","specieshash","pressurecode","rankingcode","quality","location","sources"
"25c1cebe9eb5a02749b6e9939de49896","4c5f1cad964a2624dd05651b4f6f25c0","J03.01.01","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"bd1fc22bd3c7193b13c909caf7d0cff8","7ca40901221c25f36583ab4b410dcd88","C03.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c24f4488ca28cfb05dc99111aef369e6","7ca40901221c25f36583ab4b410dcd88","B02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"66665f8e52730f0b87d27d6c07930386","138ac4204f6e8abe62ac459ec97a173b","F03.02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d67035457cf96ce2e63108452105ca86","138ac4204f6e8abe62ac459ec97a173b","C03.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"c1c9ae3b08047758061ce6d8dcc9bb6d","138ac4204f6e8abe62ac459ec97a173b","B07","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c91eb19822cac66c8010285166fe9a7d","e6c6ec346a62d5776b0fe500750817c5","F03.02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8417aa14555471f0bd25c09338682076","db5565afa3f2ad1f175b3722a7b30bd1","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"438fd9f4b6383e12fdf2514f8c310acd","db5565afa3f2ad1f175b3722a7b30bd1","A03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c1ca5904ba98e22af0a2d6564a91e0e8","db5565afa3f2ad1f175b3722a7b30bd1","C03.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"6f753d88bb02907ebfbc05645c18c109","db5565afa3f2ad1f175b3722a7b30bd1","F03.02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"578f7580ffc7a7b58f04c8f38e5ab6d1","aeaff2742c3edd0b036001f7db59c29a","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"2fc90d92a0338f1a3a2a02c8183ed378","cc5a1d595953812a16de3038fd9798e1","C03.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"f5a4dd9b8b375cc39ff2085de88e62e5","cc5a1d595953812a16de3038fd9798e1","F03.02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8b03431759f697d057b2ac5ff6727a2c","cc5a1d595953812a16de3038fd9798e1","A02.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8b5beca068597f0391326ad1ab544bba","cc5a1d595953812a16de3038fd9798e1","G01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7178b6db01a32a6d5f9683c5981c8bae","bc6d2768353e66b92eafd7d5b13643fa","A02.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"07f4469dba1da2b3b4afaf24cafa6401","bc6d2768353e66b92eafd7d5b13643fa","B03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d276a46b53ca5db38d490a44c8fb8454","bc6d2768353e66b92eafd7d5b13643fa","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"53b54e23faa605f66e3de4bcf6de5530","6801e38a1f33a5e53edc467645c0cfff","C03.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"159c47816b46305ab3d0baad573d00c3","6801e38a1f33a5e53edc467645c0cfff","F03.02.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b9105a447e9bc149ed6f2ec8357dec7b","536c192492ef3aa086d444b250c6b1a1","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c3b806e9f828481e7eb5dacea7d74e26","536c192492ef3aa086d444b250c6b1a1","J02.04.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"96a1a474c731015956de26622b53f485","c22a194ec83e6626029f414f3f2c0da4","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a550f7a29e0673c7aff24a8e6e7aa276","513bdded7d06a0e8a8222f278a2ed7c9","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"eb2f2f571665d5908e806c8b72adfdea","513bdded7d06a0e8a8222f278a2ed7c9","A03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ae074f2d604420776e29a88bc71d169b","513bdded7d06a0e8a8222f278a2ed7c9","D02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ff277131a528c76db1c3520390f07e20","513bdded7d06a0e8a8222f278a2ed7c9","K03.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4594fc3ef14d5a395e740e7f16fbb49b","513bdded7d06a0e8a8222f278a2ed7c9","C03.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"aee8410e75e3c65fefe7fcda028ec2c6","513bdded7d06a0e8a8222f278a2ed7c9","G01.08","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d5d15ba750516e18fe98f91304f532dc","c8fe05929a526f368d3b9b47b60a4541","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ed04e41f50e95854dd3a2dcfaccb8375","c8fe05929a526f368d3b9b47b60a4541","J02.07.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"821aa9f0e995ce3c36bfae89d818c924","d92aa12355f7fbecb6750fc226e8bb30","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ba5887a7ab9ac9e58f9e592443ead2e3","abd7e924746e2207c2dbed21fc11e829","J02.07.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"5f8c5c1006b7ff4213d472d21d64104b","abd7e924746e2207c2dbed21fc11e829","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d3d89dfd85544e8b7287b56af2913a81","abd7e924746e2207c2dbed21fc11e829","A03.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"3a448d103ba508463fd17af742c7b377","82e6d7ec001ae192cb20378016aa4258","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"310a79c5fe58db00c1dd00712584adb1","82e6d7ec001ae192cb20378016aa4258","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4ded9d043b11d172fc6470a78bf773a4","82e6d7ec001ae192cb20378016aa4258","J02.07.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"2a5e3d94b8d06160bd7265d0440a260d","12c89db60cf1b43064b4c28fad2ccbf0","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"f020dab3a3b8f4fdd181f32671dab30f","12c89db60cf1b43064b4c28fad2ccbf0","A03.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"e4fb063ac916a6f697c69fcf5bf42a16","12c89db60cf1b43064b4c28fad2ccbf0","K03.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ab06c14225f59fac1d66d34e993071f5","7a6ae61f8302e839eefd521af2bec765","A03.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b7a9212d0fdc8a71be7e05fc0c869101","7a6ae61f8302e839eefd521af2bec765","J02.04.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4585862d825dc3a3dfa2dfec4aafa4c3","7a6ae61f8302e839eefd521af2bec765","J02.05.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"855f696509b73eaa360e5764d26582ee","7a6ae61f8302e839eefd521af2bec765","A02.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"5f896c80d286de32904de55a4a078aa9","7fbbf311c6004a037daeb5ccfbf226f4","J02.05.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8a8417ac20064870b8bbbc152cf59932","7fbbf311c6004a037daeb5ccfbf226f4","G01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"52e323b9963b078a047fec35609b539e","7fbbf311c6004a037daeb5ccfbf226f4","J03.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c7aa1c118130f05a71e9a3c94932885d","583d0847f4ce5ffbe9797cfaad656d8e","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"aab9e654bc7637812c8ec2a773d1ccef","82217de3d2863d71ea3bec685f5c14b8","J03.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"e66e438cc55dd3178c7419a4977a22ee","82217de3d2863d71ea3bec685f5c14b8","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"dae9d7d291090130cb706c03403b94d7","82217de3d2863d71ea3bec685f5c14b8","K03.04","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"de0735f17add858efdbc27654f34f5d0","4756dc1c2056a6a7d530381157ce7928","A02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"da09319590e2732392ab3fa7d747262a","4756dc1c2056a6a7d530381157ce7928","A10","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"61041a578f188b2ac545d0f6614682df","4756dc1c2056a6a7d530381157ce7928","E01","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"eeddd75c34e96e8d1c07acd6bcd3e3aa","4756dc1c2056a6a7d530381157ce7928","K03.04","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a1225d718f9c4243d69d346cd0792bab","6b989ac9ace052e414cf93d851d4aa55","A03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b15d12ff1ea93b2a29a666bb6705ec56","6b989ac9ace052e414cf93d851d4aa55","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a50c53a3aa337ac78ed76e30e8f3f136","02e1e0892115af96267a37e58bf1127b","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8201f4e702e2cbe4cc0899a396360c8e","02e1e0892115af96267a37e58bf1127b","A02.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"03f676ce424b146cbdacd061426d9cd2","02e1e0892115af96267a37e58bf1127b","A07","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"3aa89841970a3327fad393de18fde994","02e1e0892115af96267a37e58bf1127b","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ee41e290757ea3bc397d681444ac7137","753914bb2fbcd052eda85c1d9f712533","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7d99e5b82f0ec34c73bf03291c1e9891","753914bb2fbcd052eda85c1d9f712533","A04.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"11d08e7765e92816d7ebd38bc786ed53","753914bb2fbcd052eda85c1d9f712533","C01.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8259d1de4c3e6bed5f7220a58ba0297d","4ce815349a1be39fb975770a6cd1fe6c","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ba5de034e54f4170751245f122be5dc5","bbefde0de2214d389d8a555fc0a644c9","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"2e635fb3410386afd659449cfd5d11a4","36c0ca75d16accd99a71bea1fa373b2a","J02.05.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"6600d0ff296d5b109a3f51ee9b9b548b","bb924c8a229b9413cdf4b45add1084da","A02.01","L",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d1333d06e77a794d125e78af2cd63436","bb924c8a229b9413cdf4b45add1084da","A04.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"9a89656f8db08fe38cda17f424f38f19","bb924c8a229b9413cdf4b45add1084da","J03.02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"e10a483ee8898458401302e13effdcc0","bb924c8a229b9413cdf4b45add1084da","A03.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"9d9136971f3119754a9f9526e6603080","bb924c8a229b9413cdf4b45add1084da","G01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8c24814c88fe499e5c55761f9a98fe72","8493d42d1f1054eac40a6c354f0ee7fb","A11","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"285317d81187ffdadf4a7ccc3f9221d8","8ce071311de017eb781ea232270633e2","F03.02.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"281e4ecdd1fed031a3cda7ac6563a930","8ce071311de017eb781ea232270633e2","J03.01.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"9999e01316dadb77174e684c12693d9d","8ce071311de017eb781ea232270633e2","E03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ea886f1ec352db1dbe3cd0a6bceb3939","bc295c631908f1d4df91fcfba1fbc188","F03.01","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"7d08e0e52b406d5bed02a2edbdf3e573","bc295c631908f1d4df91fcfba1fbc188","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"9aabae4b532a754aeb5aa99e7f150977","50abb3764e3740b7c06e62ef6dc4bb75","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"27b5677b06f832914b1f6aebac56fdff","67be076a3277da861313cfc2685b9f9c","F03.01","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"9cbd846aec3bcca48373c8f0b8c5ebf4","67be076a3277da861313cfc2685b9f9c","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ffe6bb99a94d23b08d4277b1ca81cfb6","61b5cf50672c0ed6b5d0a7a6b40411e5","B02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4cfdd8617042655e576c94b16b6cf2f0","27f08f2f645aa40cd141672b88f7d578","G02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b97f1a31dadb13f2f15b042f262421fe","27f08f2f645aa40cd141672b88f7d578","F03.02.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"1ce685cfd09734df04f822bf39f493a6","27f08f2f645aa40cd141672b88f7d578","D02.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"f92b52e51890510d4ad58b65820b9a90","0ac7a6a1bbb302b2c2adcd551878ff49","B01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"26403a168a62b2abb22dfc1ca519ea36","0ac7a6a1bbb302b2c2adcd551878ff49","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b84c1e916355dba6f680d150d046a215","0ac7a6a1bbb302b2c2adcd551878ff49","G01.03.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"3387a133bb389be0fe87ee3c96c2e2b3","a3027e99448101f1a034c9c933dcd0b3","A03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c6f0d83f33a5da1406f0449a9a23f56a","a3027e99448101f1a034c9c933dcd0b3","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"35901bf12baeb84901c5cee23097c459","a3027e99448101f1a034c9c933dcd0b3","A08","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b425c1c37408c512db2500c5c16fa147","e86c8cabcfd055e7510a2942e08ec379","X","",,"","BirdLife Austria & conservation authorities, expert judgementBirdLife Austria & conservation authorities, expert judgement"
"1692ba3f90b5b1639421b6b232127189","afb2e67308d251b571f2019aa8eb12a2","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b21c444b38d3c2ed6f335ad8ac32c0f9","afb2e67308d251b571f2019aa8eb12a2","B07","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"817c5380df667c826bc01a1207dd9f40","79c6f168da2b76a5465fd0eb60971d2f","B02.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"103f7ec1e7df5a12df8716f303efd8cf","79c6f168da2b76a5465fd0eb60971d2f","B02.01.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"75ec0637772204957ea4779ab1d32ed9","79c6f168da2b76a5465fd0eb60971d2f","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7f65cb7d3adfd58fa4b624dc13982d79","b97e03c92725f33ab2e143c5a3ad9959","B02.04","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7256e31b8c68dcf7a1d5fa1bb6f6c7d1","b97e03c92725f33ab2e143c5a3ad9959","A11","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a5c62110f3a9ec3b5263494ec1aae2b7","fb2900aeb298f4f43cebaa3620ad7c6b","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"aee8b7e161b4e79df6969989ac2bc629","84987af7f831240683b2225845c8ac34","G01.04.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"13b253f1d02ddcfca4614216754cbb89","84987af7f831240683b2225845c8ac34","F03.02.02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"5a51e29b0a183eb4634563280f29b507","f926c14fb3001fe790742227b741d756","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"59ba33da8e6822ba536858082318dc07","59ad1b0862de3bc2b12f893ba0a62a5b","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a6e043d5984250a42df6f913ece7cdc1","59ad1b0862de3bc2b12f893ba0a62a5b","B07","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"9d7394ec5b487b4293a9566c63c7ce38","3849d00be98a21eb58710a8de0e107b7","B02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"6f2b19c18b5168a30d8ce886c5767cba","2daf114d35144033a55b7e16d8beac85","G01.06","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"f3e92f9f5beeee671925346cab5d67fe","2daf114d35144033a55b7e16d8beac85","G01.02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"589d18122a2c3e0f5911b370bb27ede0","2daf114d35144033a55b7e16d8beac85","A04.01.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"5fe304fec9a4e56965eb2169127530cb","2daf114d35144033a55b7e16d8beac85","M02.01","H",3,"1","BirdLife Austria & conservation authorities, expert judgement"
"70212b243ef390a3dff92c0d5dd6b9dd","9b19fcf46bc38253170ece0edd5bd845","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7593771d78ce19ce062fa9b7073015ae","9b19fcf46bc38253170ece0edd5bd845","A04.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7585a4a2a609bfa601fc50ddc08989cd","9b19fcf46bc38253170ece0edd5bd845","A10.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"8558f20f5f6c08732d4f0c41d83121d6","fa8eaf6507ee07e06a11ebb142ae8a3a","J02.01.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"e0b55907d9808ac05c4b07f85210688b","fa8eaf6507ee07e06a11ebb142ae8a3a","J02.13","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"bee13f8d51c75d60a5e56a1507b31495","fa8eaf6507ee07e06a11ebb142ae8a3a","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a91fcacd76aa0f1335b161c6857f2815","c1ac261451aa3869eb02c593b123154e","J02.05.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d15e56398d8bf92f09e1cd3e60f68ac1","73e9ea3c437d41678327f5da956180ff","A02.01","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"6154b5b0f8fab577761eaebcd1f364f8","73e9ea3c437d41678327f5da956180ff","A02.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"f4dfaa3692756f8130c4737cda4e0e66","f9afcca80435c449d61953b846357aa8","B02.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"aa1b69b50767a5931748fc80191d26ab","f9afcca80435c449d61953b846357aa8","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"9471b36b669689ae15ec601e944c21fd","f5233f6bb16e9d9e2bdc3ae041bbbaa2","B02.04","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"190760af525e9f9348663187fcd690a5","f5233f6bb16e9d9e2bdc3ae041bbbaa2","B02.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c2c776fe447ec2fb8cb771b825958456","8a494635be5082e83598a82c4db4da3d","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"0e4ccae327375e050fec232489930e88","8a494635be5082e83598a82c4db4da3d","A03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b5936e50ae2587456a887cd823e5e804","8a494635be5082e83598a82c4db4da3d","A04.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a6ade8e4ba6e7567303e4a7e4474b7a4","4a2d815813cf33e7c2e79880bdad6283","A10.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b2d3642963915bb0781675cda8726c70","4a2d815813cf33e7c2e79880bdad6283","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"584b9b9296e333f0cc615b590929affd","1210fb001f864d88a994a8335ce8c43b","A02.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"689f507a04146e5d7e1c7696656990df","1210fb001f864d88a994a8335ce8c43b","A03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"7d9119121351fa3d79bb8e8515300155","1210fb001f864d88a994a8335ce8c43b","A04.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4e5878e0b0057e3d90f90837a04189ee","1210fb001f864d88a994a8335ce8c43b","G01.06","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
