"bgreporthash","sitecode","sitename","project_year","project_title","impact"
"28601ee5d42963e2d27387bbb7b71619","ROSPA0035","Domogled - Valea Cernei","2012","Drum de legatură DN 66A, Km 47+600 – Km 66+204, Campu lui Neag – Cerna",""
"28601ee5d42963e2d27387bbb7b71619","ROSPA0098","Piemontul Făgăraș","2009","Drum expres SIBIU – FĂGĂRAŞ",""
"28601ee5d42963e2d27387bbb7b71619","ROSCI0208","Putna - Vrancea","2012","REABILITARE DN2D FOCSANI – OJDULA – INTERSECTIE CU DN11, KM 0+000",""
"ad016042631be2dd1783bd98b1329e9d","AT3112000","Oberes Donautal","2008","1. Erweiterung der 30 kV Trafostation Untermühl von Kopf- auf Durchgangsstation durch Einbau eines 30 kV Kabelganges 2. Neuverlegung eines 30 kV Kabelsystems 3. Neubau einer 30 kV Ringverbindung","this field is left blank as it is optional"
"ad016042631be2dd1783bd98b1329e9d","AT3209022","Salzachauen","2008","Errichtung der Sohlabstufung Fluss-km 51,9 samt Begleitmaßnahmen im Europaschutzgebiet Salzachauen","this field is left blank as it is optional"
"ad016042631be2dd1783bd98b1329e9d","AT1210000","Steinfeld","2008","B17 Umfahrung Sollenau-Theresienfeld","this field is left blank as it is optional"
"b7fe8dd2ed923dd730a883bbfe2d841c","ES0000235","De S’Albufera a la Mola","2010","Ampliación del vertedero de residuos no peligrosos de Milà.","Afección a hábitats de interés comunitario"
"b7fe8dd2ed923dd730a883bbfe2d841c","ES0000337","Estrecho","2007","Segundo circuito de la interconexión eléctrica España-Marruecos","Afección a hábitats de interés comunitario"
"b7fe8dd2ed923dd730a883bbfe2d841c","ES0000210","Alto Sil","2012","Plan regional de ámbito sectorial de explotaciones a cielo abierto en Laciana y Babia (2009-2020)","Afección a hábitats de interés comunitario. Afección a especies prioritarias"
"27abe5eb4be41ecc92f0e0b4b167df10","NL2000011","Uiterwaarden Waal","2008","Stadsbrug Nijmegen",""
"27abe5eb4be41ecc92f0e0b4b167df10","NL3009006","Duinen Schiermonnikoog","2007","Eemshaven RWE",""
"27abe5eb4be41ecc92f0e0b4b167df10","NL3009005","Duinen Ameland","2007","Eemshaven RWE",""
"2257633935dcef7ed3067cc23f31269e","FR5412018","Plaines du Mirebalais et du Neuvillois","2009","LGV SEA Tour Angoulême",""
"2257633935dcef7ed3067cc23f31269e","FR5412022","Plaine de la Mothe St-Hérau Lezay","2009","LGV SEA Tour Angoulême",""
"2257633935dcef7ed3067cc23f31269e","FR5412021","Plaine de Villefagnan","2009","LGV SEA Tour Angoulême",""
"2257633935dcef7ed3067cc23f31269e","FR9112015","Costière Nîmoise","2010","contournement ferroviaire de Nîmes et Montpellier",""
"848e80b57c36c79d7de3f7d816b97344","DE0916491","Ramsar-Gebiet S-H Wattenmeer und angrenzende Küstengebiete","2012","Deckwerksverstärkung auf den Halligen",""
"848e80b57c36c79d7de3f7d816b97344","DE0916491","Ramsar-Gebiet S-H Wattenmeer und angrenzende Küstengebiete","2012","Deichverstärkung Nordstrand, Alter Koog",""
"848e80b57c36c79d7de3f7d816b97344","DE1747402","Greifswalder Bodden und südlicher Strelasund","2008","Steinkohlekraftwerk Lubmin (DONG)",""
"848e80b57c36c79d7de3f7d816b97344","DE2130491","Grönauer Heide","2009","Ausbau des Verkehrsflughafen Lübeck-Blankensee",""
"848e80b57c36c79d7de3f7d816b97344","DE2235402","Schweriner Seen","2009","Weiterbau der BAB A241 (A14) von der Anschlussstelle Schwerin-Nord (B104) bis zur Anschlussstelle Jesendorf (L101) und Verlegung der Kreisstraße",""
"848e80b57c36c79d7de3f7d816b97344","DE2832401","Niedersächsische Mittelelbe","2006","Vereinfachte Flurbereinigungsverfahren im Amt Neuhaus",""
"848e80b57c36c79d7de3f7d816b97344","DE4151421","Spreewald und Lieberoser Endmoräne","2009","Photovoltaik-Freiflächenanlage - Solarpark Turnow-Preilack",""
